23,0,5500,0,,23,0,5500,0,,23,0,5500,0
24,0,5132,0,,98,1057.089311,19842,0,,87,8685.716781,7959,1
,,,,,,,,,,,,,
d1 * d2,28226552,,,,d1 * d2,109133254,,,,d1 * d2,43776501,,
||d1||,30250529,5500.048091,,,||d1||,30250529,5500.048091,,,||d1||,30250529,5500.048091,
||d2||,26338000,5132.056118,,,||d2||,394832005.8,19870.38011,,,||d2||,138794927,11781.12588,
,,,,,,,,,,,,,
point ,28226555.45,0.999999878,,,point ,109288046.2,0.998583631,,,point ,64796758.9,0.675597078,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3,2,0,5,0,0,0,2,0,0,,,,
1,0,0,0,0,0,0,1,0,2,,,,
,,,,,,,,,,,,,
d1 * d2,5,,,,,,,,,,,,
||d1||,42,6.480740698,,,,,,,,,,,
||d2||,6,2.449489743,,,,,,,,,,,
,,,,,,,,,,,,,
point ,15.87450787,0.314970394,,,,,,,,,,,
